pair,feature,ks_stat,ks_pval,wasserstein_norm,pars
clinic_vs_vitaldb,brs_mean,0.2343,0.0,0.226,False
clinic_vs_vitaldb,brs_std,0.1801,0.0,0.3369,False
clinic_vs_vitaldb,brs_slope,0.067,0.041491,0.0961,False
clinic_vs_vitaldb,brs_min,0.2718,0.0,0.0599,True
clinic_vs_vitaldb,brs_max,0.2053,0.0,0.3131,False
clinic_vs_vitaldb,sdnn_mean,0.088,0.00178,0.1287,True
clinic_vs_vitaldb,sdnn_std,0.1984,0.0,0.2306,False
clinic_vs_vitaldb,sdnn_min,0.236,0.0,0.1246,False
clinic_vs_vitaldb,sdnn_max,0.1799,0.0,0.2074,False
clinic_vs_vitaldb,sdnn_slope,0.2453,0.0,0.0619,False
clinic_vs_vitaldb,rmssd_mean,0.089,0.001514,0.1353,False
clinic_vs_vitaldb,rmssd_std,0.1816,0.0,0.2016,False
clinic_vs_vitaldb,rmssd_min,0.2418,0.0,0.1068,False
clinic_vs_vitaldb,rmssd_max,0.1834,0.0,0.1848,False
clinic_vs_vitaldb,rmssd_slope,0.2317,0.0,0.0644,False
clinic_vs_vitaldb,pnn50_mean,0.1218,3e-06,0.1534,False
clinic_vs_vitaldb,pnn50_std,0.1224,3e-06,0.1635,False
clinic_vs_vitaldb,pnn50_min,0.0612,0.065704,0.1386,False
clinic_vs_vitaldb,pnn50_max,0.1711,0.0,0.3214,False
clinic_vs_vitaldb,pnn50_slope,0.2074,0.0,0.1015,False
clinic_vs_vitaldb,arv_mean,0.3899,0.0,0.6786,True
clinic_vs_vitaldb,arv_std,0.1736,0.0,0.2112,True
clinic_vs_vitaldb,arv_min,0.3031,0.0,0.4321,False
clinic_vs_vitaldb,arv_max,0.2756,0.0,0.389,False
clinic_vs_vitaldb,arv_slope,0.1973,0.0,0.0836,False
clinic_vs_vitaldb,cv_pa_mean,0.3479,0.0,0.6685,True
clinic_vs_vitaldb,cv_pa_std,0.2626,0.0,0.6716,True
clinic_vs_vitaldb,cv_pa_min,0.29,0.0,0.5181,False
clinic_vs_vitaldb,cv_pa_max,0.392,0.0,0.9328,False
clinic_vs_vitaldb,cv_pa_slope,0.2408,0.0,0.145,False
clinic_vs_vitaldb,std_pa_mean,0.3291,0.0,0.5567,True
clinic_vs_vitaldb,std_pa_std,0.2827,0.0,0.7396,True
clinic_vs_vitaldb,std_pa_min,0.2884,0.0,0.3806,False
clinic_vs_vitaldb,std_pa_max,0.3684,0.0,0.8143,True
clinic_vs_vitaldb,std_pa_slope,0.2704,0.0,0.1236,True
clinic_vs_vitaldb,rsa_mean,0.1107,5.1e-05,0.188,True
clinic_vs_vitaldb,rsa_std,0.1785,0.0,0.1563,False
clinic_vs_vitaldb,rsa_min,0.2204,0.0,0.2727,False
clinic_vs_vitaldb,rsa_max,0.1956,0.0,0.2356,True
clinic_vs_vitaldb,rsa_slope,0.2093,0.0,0.0651,False
clinic_vs_mimic,brs_mean,0.1525,7.5e-05,0.2696,False
clinic_vs_mimic,brs_std,0.1989,0.0,0.352,False
clinic_vs_mimic,brs_slope,0.1044,0.017429,0.1026,False
clinic_vs_mimic,brs_min,0.1643,1.4e-05,0.106,True
clinic_vs_mimic,brs_max,0.2235,0.0,0.3214,False
clinic_vs_mimic,sdnn_mean,0.1719,4e-06,0.269,True
clinic_vs_mimic,sdnn_std,0.1448,0.000191,0.2905,False
clinic_vs_mimic,sdnn_min,0.1808,1e-06,0.2423,False
clinic_vs_mimic,sdnn_max,0.1208,0.003004,0.2411,False
clinic_vs_mimic,sdnn_slope,0.0544,0.520034,0.1804,False
clinic_vs_mimic,rmssd_mean,0.2167,0.0,0.3205,False
clinic_vs_mimic,rmssd_std,0.2036,0.0,0.3339,False
clinic_vs_mimic,rmssd_min,0.2256,0.0,0.2495,False
clinic_vs_mimic,rmssd_max,0.161,2e-05,0.2862,False
clinic_vs_mimic,rmssd_slope,0.1053,0.014841,0.1965,False
clinic_vs_mimic,pnn50_mean,0.2408,0.0,0.4356,False
clinic_vs_mimic,pnn50_std,0.2312,0.0,0.3036,False
clinic_vs_mimic,pnn50_min,0.1441,0.000195,0.2706,False
clinic_vs_mimic,pnn50_max,0.2226,0.0,0.3643,False
clinic_vs_mimic,pnn50_slope,0.1117,0.008139,0.1785,False
clinic_vs_mimic,arv_mean,0.0966,0.030835,0.1887,True
clinic_vs_mimic,arv_std,0.1145,0.00608,0.2393,True
clinic_vs_mimic,arv_min,0.0782,0.128706,0.1056,False
