,brs_mean,brs_std,brs_slope,brs_min,brs_max,sdnn_mean,sdnn_std,sdnn_min,sdnn_max,sdnn_slope,rmssd_mean,rmssd_std,rmssd_min,rmssd_max,rmssd_slope,pnn50_mean,pnn50_std,pnn50_min,pnn50_max,pnn50_slope,arv_mean,arv_std,arv_min,arv_max,arv_slope,cv_pa_mean,cv_pa_std,cv_pa_min,cv_pa_max,cv_pa_slope,std_pa_mean,std_pa_std,std_pa_min,std_pa_max,std_pa_slope,rsa_mean,rsa_std,rsa_min,rsa_max,rsa_slope
brs_mean,1.0,0.9153903874521342,0.050751240904422484,0.4220072395521786,0.9008607379232138,0.5131811521690501,0.5764041653425173,0.057096189250106545,0.5940270003187971,0.0038628349586345393,0.5313132804479899,0.575118279591917,0.09700297167286877,0.5973826627733143,0.008635872012386234,0.47124760136711064,0.5402161485300164,0.1083063379529987,0.5466316950182186,0.015322036917949403,-0.0007276433129954386,0.07926524436022633,-0.054628052128081465,0.05069980035953542,-0.04407787177327422,0.047507018430856855,0.11485045321992637,-0.038314708718964,0.08340025901279853,-0.05665540066676112,0.03314251699002997,0.10237577867292023,-0.05084366224897289,0.06771963988296933,-0.04490729790217439,0.482043628098295,0.5607943920849705,-0.0037557658969728236,0.5411551016701184,-0.0018110281125643744
brs_std,0.9153903874521343,0.9999999999999998,0.04048067648736347,0.22845230459159876,0.973278251722272,0.39452525289810647,0.5569716858073342,-0.0470363602017271,0.5638519869103739,0.012313175350398213,0.41158116259729116,0.555228684775772,-0.014532513106423886,0.5701543251879496,0.013834652890833918,0.35615879271136264,0.46260583884921963,-0.024033268392869303,0.4694075332193314,0.016234955933445587,0.02773965561558991,0.12683542077056503,-0.04621825876213131,0.10542851240034218,-0.03750952941434141,0.06735744358849002,0.14797206690719478,-0.03658684128419474,0.12637124890059534,-0.05715428154832573,0.058652987582689345,0.13814256663356095,-0.04706586868750318,0.11357953495807106,-0.04686445188138911,0.3636647058459872,0.5261244840133527,-0.12488420626072913,0.5283274361403064,0.012052118526810991
brs_slope,0.050751240904422484,0.04048067648736347,1.0,0.06375863169480876,0.0358469035475994,0.06170298058981455,0.04482055113358386,0.0431085699598087,0.046974133755870624,0.24576635011128278,0.05307028225549757,0.03627354932719435,0.040129948567770406,0.03882279445395987,0.2484076118884026,0.03756867936866547,0.04189515049696641,0.00893756540278067,0.03619738820223948,0.19595276681107657,0.025412784957367103,0.02253216254007468,0.0025260274015484357,0.008127472535003238,0.027004581024254366,0.014401665668288231,0.003212537899442208,0.012973780246065788,-0.009899383062942095,-0.006556191301483769,0.013042763661922465,3.0546396863324466e-05,0.009882139259879066,-0.011584708892848999,0.01228603832781636,0.06641242300737164,0.050760042339572035,0.04640566441622269,0.04259100722058659,0.21815220240828398
brs_min,0.4220072395521786,0.2284523045915988,0.06375863169480876,0.9999999999999998,0.2375479860675162,0.37776011612336996,0.17218387864222345,0.3124384726651316,0.21935226834943322,0.001092634729517896,0.3842134468911886,0.17979171438639713,0.3463245155957806,0.21862845673986542,0.006635562799086531,0.3672261509005196,0.2844911995573561,0.38536984259322715,0.29524509466600346,0.009854885702761218,-0.10743188986064892,-0.25557922291709473,0.015458113399051465,-0.23148949734995575,-0.03550983491954176,-0.12743500073815486,-0.23058944886164778,0.023989700824582016,-0.250423768604204,-0.0234153297968555,-0.1563181632487176,-0.24669630908660425,0.003659941321823264,-0.26910828790169433,-0.0053560229023271195,0.38845296268419305,0.22765062847457326,0.3708280235492512,0.1919999988418287,-0.005047539648650464
brs_max,0.9008607379232136,0.9732782517222721,0.035846903547599396,0.2375479860675162,1.0,0.39979784758998416,0.552518380845265,-0.02219433451101379,0.5641218180121372,0.013168274071955543,0.41551282608247664,0.5524232240044266,0.009089514603228502,0.5712003660760261,0.01455559933351562,0.3610120524593419,0.4542068047390057,0.008708947211782765,0.4671646702474976,0.012572600844083764,0.02674485896658337,0.11955394369957689,-0.04758995939066981,0.09780184583130445,-0.033625034699162615,0.07319762520812996,0.1465909081438551,-0.031129663402008474,0.12586458303252362,-0.04669318675225228,0.06354994393987949,0.1362139116470025,-0.04095915691648045,0.11280688873691057,-0.03828719885276038,0.37433989028984566,0.5316470578437742,-0.10955532195341995,0.5372364664472927,0.005253450765371023
sdnn_mean,0.5131811521690501,0.3945252528981065,0.06170298058981455,0.37776011612337,0.39979784758998416,1.0,0.7822945906672816,0.5117050002088873,0.7976531009230423,0.01645275198965178,0.965587292553467,0.7530064141457427,0.5316680799162432,0.7609710682017521,0.02047454465854304,0.905205009692255,0.8642205259215711,0.4540015164320489,0.8472482547973046,0.003229556791088742,0.02895031597004083,0.22421711471310715,-0.008887497132896037,0.07964638151211381,-0.04880367391534293,0.19930995981990643,0.28748418245551977,0.035492071618636545,0.23671178573926507,-0.03865003401065447,0.1926377745930487,0.28082887513114224,0.04381147190220143,0.2199743621559823,-0.027466592129607618,0.9739497669087392,0.8192548274390757,0.46168564762305025,0.7392723868483069,-0.006576234180938382
sdnn_std,0.5764041653425173,0.5569716858073342,0.04482055113358386,0.17218387864222345,0.5525183808452651,0.7822945906672816,1.0,0.10097056347245825,0.965132162427375,-0.0036534434809893652,0.780592505816306,0.9566378099409689,0.13715793952911992,0.9288134652403857,-0.008186680581842644,0.6962814996227537,0.8129336296888826,0.14052653017913413,0.8043138911007658,-0.0301592108136203,0.05528126174738056,0.28162338635816825,-0.030116174016051184,0.13926652585992255,-0.041740341706390995,0.20712857038940152,0.3541932137533794,-4.3191865795467804e-05,0.29558494716344963,-0.05915540368622616,0.19086888921524534,0.3393114224110089,-0.00689025780583061,0.26861423053491057,-0.05173294915252184,0.7299323276086565,0.9344098110186694,0.05574779291926957,0.8871880900103374,-0.007611928464686871
sdnn_min,0.05709618925010654,-0.0470363602017271,0.0431085699598087,0.3124384726651316,-0.02219433451101379,0.5117050002088873,0.10097056347245825,1.0,0.16641872575841957,0.05118390756585652,0.4675655411346839,0.07225414778272025,0.966172247165665,0.1252188785286483,0.05972403783007193,0.4906578196895386,0.28179162169630423,0.5341299053058998,0.28034265028360594,0.04037098755211606,0.0020847332703556186,0.03981049048636752,0.03966256851765921,-0.00825343421537411,-0.009202123903228223,0.0606496118553696,0.04498433711011876,0.06278144998228398,0.04648901456207322,0.03972271715844354,0.05853080973452847,0.04448158104258914,0.07258995127549811,0.04332193545849336,0.03500138048862238,0.5602265728486182,0.21372028474279564,0.8022877337420746,0.2255424781962062,0.014695061267781155
sdnn_max,0.5940270003187971,0.5638519869103739,0.04697413375587062,0.21935226834943322,0.5641218180121372,0.7976531009230423,0.965132162427375,0.16641872575841954,1.0,0.005103395037347203,0.7993501375027543,0.9370916688198512,0.20128373985358775,0.9639119832586364,0.004110872606737776,0.7240130002302263,0.8040288303313884,0.24875935048523817,0.84146250829566,-0.015136594748436758,0.06742066254540498,0.27235126926626296,-0.008553139563537652,0.15768839552007444,-0.039922836517813386,0.22434150322682403,0.34099623762138315,0.026731793626555738,0.3042343645143545,-0.05733635204625222,0.20807080210680595,0.3262826895567684,0.021763786854567844,0.2784650629731428,-0.05310685176468517,0.7511140666268662,0.9281218509425316,0.10482670838928784,0.9150529380650397,-0.00562551970220248
sdnn_slope,0.0038628349586345393,0.012313175350398213,0.24576635011128278,0.001092634729517896,0.013168274071955543,0.01645275198965178,-0.0036534434809893652,0.05118390756585653,0.005103395037347203,1.0,0.01723439281633639,0.004203880666241931,0.0415956380240414,0.00717573598654917,0.8645470930649534,0.008890641166963345,-0.002628362082260223,0.020995372916476334,0.007362283252480837,0.60492770991985,0.009589875048789909,-0.035370163521689986,0.02768217744894115,-0.020787500316386046,0.1333749655174685,-0.014212021973391002,-0.037512530622586984,0.019348758365015827,-0.03781671440338317,0.1920740125140953,-0.01652888305224876,-0.04273594356656185,0.02079961238391177,-0.04375131087984107,0.21210097692568206,0.02900830950782876,0.02429458337465335,-0.01697324601707531,0.028554691855047422,0.7626030101423612
