,brs_mean,brs_std,brs_slope,brs_min,brs_max,sdnn_mean,sdnn_std,sdnn_min,sdnn_max,sdnn_slope,rmssd_mean,rmssd_std,rmssd_min,rmssd_max,rmssd_slope,pnn50_mean,pnn50_std,pnn50_min,pnn50_max,pnn50_slope,arv_mean,arv_std,arv_min,arv_max,arv_slope,cv_pa_mean,cv_pa_std,cv_pa_min,cv_pa_max,cv_pa_slope,std_pa_mean,std_pa_std,std_pa_min,std_pa_max,std_pa_slope,rsa_mean,rsa_std,rsa_min,rsa_max,rsa_slope
brs_mean,0.9999999999999998,0.8929388124550521,-0.0019807094686952907,0.3219810395817538,0.8454798857814045,0.7238313411782765,0.6266451977736323,0.26047332185813765,0.616071452285654,0.02130950451138833,0.7560606894722338,0.653179841318684,0.28879824085219563,0.6342122248950642,0.027960788499073436,0.7305399660902462,0.6765893352465584,0.23628883769039075,0.6227979158922521,0.008825709183745216,0.023901075705394896,-0.01229715671188738,0.04288659572547434,-0.011798188143967702,0.02648598576054723,0.08525319082593091,0.0023321647410927755,0.0729841216585906,0.009687601422896026,-0.028095173241460512,0.08283895544132057,0.0030332349229953708,0.07102979992025554,0.005008508328790075,-0.027902581509317775,0.728266683410583,0.6475236739208153,0.22857447081342985,0.5945093157181163,0.0017963120192998141
brs_std,0.8929388124550522,0.9999999999999998,0.00620046213996615,0.15311891055988375,0.9561584653762458,0.6382061662447273,0.6408651136301121,0.09830389514209524,0.619889031131268,0.020793014815503504,0.672836360639423,0.6705935374377129,0.12143575526819722,0.6422359517047536,0.029992822427856385,0.6531520762417294,0.6408235426205556,0.129115545037038,0.5899965378706934,-0.003717002128809137,0.007735813954377226,0.03593284144950334,-0.010937777750999472,0.03119055126553044,0.027302059198788992,0.07666934656879255,0.0618855654029702,0.021583263490878343,0.06888279110776337,-0.025160927942089007,0.08434972639376165,0.06009651498640254,0.021602908778527784,0.061907475589002975,-0.027139944971501944,0.6396457704405912,0.6561797867164223,0.06396877284948553,0.6135316295216672,0.010292671671872332
brs_slope,-0.0019807094686952907,0.00620046213996615,0.9999999999999998,-0.033851484810488844,0.007431297405438384,-0.008692990160962439,0.0061961297463820255,-0.021325383502930586,0.02288148850303504,0.35939080047759925,-0.010998876063868972,0.007112045425223863,-0.02909509082103701,0.023266255583691733,0.3785401615752304,-0.017674694972293757,-0.003920398964748163,-0.029301885971582706,0.009186793432044616,0.33711577526374503,0.011223533374273486,0.02183241697556093,0.004867708460532611,0.0139065607592378,-0.005571755747998548,0.005191554118303269,0.022484322563284295,-0.008415002958327637,0.022750564749648615,0.013791785005667924,0.006961956524448387,0.023882131724433278,-0.01816962629887248,0.023223705704683337,0.007537197984481551,-0.010414649155775236,0.005562559162939388,-0.01589521549042426,0.022805239429268036,0.3617460782563184
brs_min,0.3219810395817538,0.15311891055988378,-0.033851484810488844,1.0,0.1518656120678355,0.1833319078673766,0.07588040273717105,0.2275566772518637,0.08526383919510305,-0.008723450372908621,0.2079709554936758,0.09258773477015242,0.2660442989296999,0.0953814245393921,-0.01953738605989725,0.21179712712534873,0.11540578308415421,0.26820718217334577,0.10819923177648709,-0.010052009368991095,-0.08060924041490819,-0.31714363617941677,0.17080823361759204,-0.3845246451528633,-0.018715703413548723,-0.24517769291317948,-0.4446177414942221,0.11589472488387229,-0.44809634685031724,0.04680495660923177,-0.3358540614562551,-0.4612889656374324,0.09103890335127335,-0.46269751053682545,0.04373507045512265,0.20792578710628626,0.10550352041913084,0.2984202264165657,0.07880003426161533,-0.020000619578359954
brs_max,0.8454798857814045,0.9561584653762458,0.007431297405438383,0.1518656120678355,1.0,0.6304187938266825,0.6403731851785648,0.10042118638805661,0.6166421536220109,0.01982567605353228,0.6556467609990205,0.6663067852482466,0.11758851450004189,0.6362219795652749,0.028112671551029055,0.6328923776379034,0.6220229774022066,0.1331788676081911,0.5749669516202747,0.0018168734131402315,-0.02057116760671016,0.04828417018867142,-0.035437640503282256,0.028022039732066916,0.016382050434093492,0.047423920401863044,0.06902805772739043,-0.010354932991930934,0.0710361436296982,-0.026311631431471832,0.06351899940201483,0.06701025273137429,-0.00806404001905237,0.06711350070386427,-0.026353976636982933,0.6321630069813694,0.6561184946862673,0.060553972852558605,0.6128420269404716,0.010247632246613583
sdnn_mean,0.7238313411782765,0.6382061662447273,-0.008692990160962439,0.1833319078673766,0.6304187938266825,1.0,0.875779817177933,0.4108220883107356,0.8093630641213806,0.012230973278929427,0.9682741111994381,0.871989744056536,0.4089910065394037,0.8018764927353648,0.03093977255475284,0.9066924549891164,0.8608971560250784,0.2883941780402208,0.7811170960356956,0.02136743416823985,0.067497269539479,0.09473577750199833,0.0178436446479049,0.08152360659934565,0.027129552773851595,0.19542829486108568,0.0799839163661146,0.08804343793094446,0.08604558369415877,-0.03447708866291224,0.2275997309815561,0.09656965653278259,0.10043690252472208,0.09310436334515157,-0.04043491264657539,0.9774679089260135,0.8883500549551872,0.3534469659686465,0.7888620053269859,0.02053700772309216
sdnn_std,0.6266451977736323,0.6408651136301122,0.0061961297463820255,0.07588040273717105,0.6403731851785647,0.875779817177933,1.0,0.1812929659897677,0.9229966919121276,0.02204584819170725,0.8522916672706382,0.9759328689420216,0.19286284429364337,0.8956275332178334,0.034540667616827954,0.7766225998595141,0.8507097692443659,0.07780984801252921,0.7709149457327779,0.015480432161543982,0.06955208873039717,0.10245054590308399,0.0012384773877579043,0.0898635539359606,0.03210329837531317,0.175574368718575,0.09729791863694484,0.06520927299079872,0.09936731696584315,-0.03415869847088775,0.20244818898071393,0.11384559020592813,0.07457389013506985,0.10738301892261494,-0.042506504133537126,0.8494783682397791,0.95348595010129,0.15084704565629659,0.883992839273732,0.024967897927978572
sdnn_min,0.26047332185813765,0.09830389514209524,-0.021325383502930582,0.2275566772518637,0.10042118638805662,0.4108220883107356,0.1812929659897677,1.0,0.211508166785704,-0.025282199973994918,0.3623035501250732,0.15469472393779823,0.9280960280314826,0.18177141174746733,-0.009864889391505621,0.31333621968567793,0.19681181714434237,0.3264439680924732,0.19426910777158898,-0.010823012579304125,0.11102260527324731,-0.07284612648182513,0.19451151254138044,-0.03198224986074293,0.01251571192054363,0.12111413126911726,-0.10688965330302115,0.2154159827967078,-0.07726883289324636,-0.01640194037944242,0.13278999580829778,-0.07730695251839283,0.24090635704993354,-0.05871338328882974,-0.011901069306172601,0.43582381048468527,0.21570221420078228,0.6970370778129897,0.2223888205804346,0.006394136668072228
sdnn_max,0.616071452285654,0.6198890311312679,0.02288148850303504,0.08526383919510307,0.6166421536220108,0.8093630641213806,0.9229966919121275,0.21150816678570397,0.9999999999999998,0.0490349896636382,0.7831456483907616,0.902253643775238,0.22602783319952896,0.9622663328597416,0.06276578014141113,0.7128736050461927,0.7657894295663086,0.17417339693478165,0.8136979164093628,0.03814161976362044,0.09975172480445137,0.09617662107111083,0.02399247932418735,0.10849418183463358,0.05259763467636489,0.20761368917274475,0.0905012124147443,0.09769453760848937,0.10761781079949581,-0.01901850196508377,0.23249500262206482,0.11033364411530716,0.11276662514701832,0.11485009933132966,-0.019352367646232115,0.776802158790031,0.8665016383035902,0.17682374846418764,0.888340447991441,0.04279002117803432
sdnn_slope,0.02130950451138833,0.020793014815503504,0.3593908004775993,-0.008723450372908623,0.019825676053532283,0.012230973278929427,0.02204584819170725,-0.025282199973994914,0.049034989663638194,1.0,0.014092742284777552,0.022440633897605693,-0.027546851508482458,0.05530215410092163,0.9430335310529842,0.020581829276567452,0.041693039605887466,-0.026627732789834633,0.08105867514274162,0.7800442204409578,0.006997930963152017,-0.004320689123762129,0.01242817513175839,-0.028231572703634123,0.13795728463771204,-0.02842861531876168,-0.049847178671304344,0.01182192704943371,-0.04374602327662473,0.11373408053427078,-0.033083526002319216,-0.04944408356418619,0.02056998228885912,-0.050298183654346594,0.14050128576124776,0.009858309557795378,0.01313809163583715,0.01615629587294446,0.022535282308492,0.8600374184524787
