cohort,event_type,feature,auc,n_events,n_controls
clinic,hypotension,brs_mean,0.5175780503649356,66,885
clinic,hypotension,brs_std,0.5019625952435927,66,885
clinic,hypotension,brs_slope,0.5328384798099762,66,885
clinic,hypotension,brs_min,0.6165692231266002,66,885
clinic,hypotension,brs_max,0.514692957315908,66,885
clinic,hypotension,sdnn_mean,0.5444786851566512,66,885
clinic,hypotension,sdnn_std,0.5046822742474917,66,885
clinic,hypotension,sdnn_min,0.6073874336586201,66,885
clinic,hypotension,sdnn_max,0.5235319294641329,66,885
clinic,hypotension,sdnn_slope,0.5068405642800107,66,885
clinic,hypotension,rmssd_mean,0.5476973121040918,66,885
clinic,hypotension,rmssd_std,0.5007569089948952,66,885
clinic,hypotension,rmssd_min,0.5933829823660332,66,885
clinic,hypotension,rmssd_max,0.5142098955658279,66,885
clinic,hypotension,rmssd_slope,0.5161919971608553,66,885
clinic,hypotension,pnn50_mean,0.5283684300633453,66,885
clinic,hypotension,pnn50_std,0.5345361732089421,66,885
clinic,hypotension,pnn50_min,0.5253894881013526,66,885
clinic,hypotension,pnn50_max,0.5504280089025853,66,885
clinic,hypotension,pnn50_slope,0.5217283293407861,66,885
clinic,hypotension,arv_mean,0.6203047423386405,66,885
clinic,hypotension,arv_std,0.682485477908819,66,885
clinic,hypotension,arv_min,0.5111282314672145,66,885
clinic,hypotension,arv_max,0.6486218113336757,66,885
clinic,hypotension,arv_slope,0.5612989087037529,66,885
clinic,hypotension,cv_pa_mean,0.7592193117616846,66,885
clinic,hypotension,cv_pa_std,0.7044886463650766,66,885
clinic,hypotension,cv_pa_min,0.579934942646807,66,885
clinic,hypotension,cv_pa_max,0.7503509673001199,66,885
clinic,hypotension,cv_pa_slope,0.5100700913849703,66,885
clinic,hypotension,std_pa_mean,0.6639616504023284,66,885
clinic,hypotension,std_pa_std,0.6716951240978701,66,885
clinic,hypotension,std_pa_min,0.5143639787707585,66,885
clinic,hypotension,std_pa_max,0.6659133709981166,66,885
clinic,hypotension,std_pa_slope,0.5561352142667021,66,885
clinic,hypotension,rsa_mean,0.572045521945433,66,885
clinic,hypotension,rsa_std,0.5489372770511296,66,885
clinic,hypotension,rsa_min,0.5490621293001186,66,885
clinic,hypotension,rsa_max,0.5823880486358244,66,885
clinic,hypotension,rsa_slope,0.5283378136200717,66,885
clinic,hypertension,brs_mean,0.5422415422415422,38,885
clinic,hypertension,brs_std,0.5056464915619845,38,885
clinic,hypertension,brs_slope,0.534570199653335,38,885
clinic,hypertension,brs_min,0.6000441000441,38,885
clinic,hypertension,brs_max,0.5201600201600202,38,885
clinic,hypertension,sdnn_mean,0.5842105263157895,38,885
clinic,hypertension,sdnn_std,0.511441647597254,38,885
clinic,hypertension,sdnn_min,0.5821439191198334,38,885
clinic,hypertension,sdnn_max,0.5023490930716622,38,885
clinic,hypertension,sdnn_slope,0.554270624658532,38,885
clinic,hypertension,rmssd_mean,0.5360392506690455,38,885
clinic,hypertension,rmssd_std,0.547452727929664,38,885
clinic,hypertension,rmssd_min,0.5439637228664882,38,885
clinic,hypertension,rmssd_max,0.5526613143027059,38,885
clinic,hypertension,rmssd_slope,0.5403690888119954,38,885
clinic,hypertension,pnn50_mean,0.5819506393101398,38,885
clinic,hypertension,pnn50_std,0.5862037817656268,38,885
clinic,hypertension,pnn50_min,0.5250223015165031,38,885
clinic,hypertension,pnn50_max,0.5535533749628309,38,885
clinic,hypertension,pnn50_slope,0.5208523037698052,38,885
clinic,hypertension,arv_mean,0.5478441867380315,38,885
