event_type,lead_min,auc,ci_lo,ci_hi,n_events,n_windows,method
hypotension,0,0.7839,0.6779,0.8547,66,951,oos_cv
hypotension,5,0.6685,0.5055,0.7826,66,951,oos_cv_linear_extrap
hypotension,10,0.6246,0.4617,0.7577,66,951,oos_cv_linear_extrap
hypotension,15,0.605,0.4358,0.7456,66,951,oos_cv_linear_extrap
hypotension,20,0.5927,0.4204,0.7374,66,951,oos_cv_linear_extrap
hypotension,30,0.5677,0.384,0.7212,66,951,oos_cv_linear_extrap
hypertension,0,0.8989,0.7913,0.9663,38,923,oos_cv
hypertension,5,0.8527,0.7036,0.941,38,923,oos_cv_linear_extrap
hypertension,10,0.8045,0.6226,0.915,38,923,oos_cv_linear_extrap
hypertension,15,0.7794,0.5695,0.9017,38,923,oos_cv_linear_extrap
hypertension,20,0.7657,0.5549,0.8938,38,923,oos_cv_linear_extrap
hypertension,30,0.7491,0.5355,0.885,38,923,oos_cv_linear_extrap
variability,0,0.5443,0.5159,0.5719,1596,2481,oos_cv
variability,5,0.509,0.4817,0.537,1596,2481,oos_cv_linear_extrap
variability,10,0.5052,0.4781,0.5333,1596,2481,oos_cv_linear_extrap
variability,15,0.5011,0.4736,0.5293,1596,2481,oos_cv_linear_extrap
variability,20,0.4976,0.4699,0.5262,1596,2481,oos_cv_linear_extrap
variability,30,0.4917,0.4641,0.5203,1596,2481,oos_cv_linear_extrap
