cohort,event_type,label,n_windows,brs_mean_nan_pct,brs_only1_pct,brs_min_nan_pct,brs_calculable_pct
Clínic,hypotension,event,66,7.58,0.0,7.58,92.42
Clínic,hypotension,control,885,3.05,0.68,3.05,96.95
Clínic,hypotension,all,951,3.36,0.63,3.36,96.64
Clínic,variability,event,1596,6.7,1.63,6.7,93.3
Clínic,variability,control,885,3.05,0.68,3.05,96.95
Clínic,variability,all,2481,5.4,1.29,5.4,94.6
Clínic,hypertension,event,38,2.63,0.0,2.63,97.37
Clínic,hypertension,control,885,3.05,0.68,3.05,96.95
Clínic,hypertension,all,923,3.03,0.65,3.03,96.97
VitalDB,variability,event,2442,3.85,0.66,3.85,96.15
VitalDB,variability,control,483,2.28,0.0,2.28,97.72
VitalDB,variability,all,2925,3.59,0.55,3.59,96.41
VitalDB,hypotension,event,505,5.94,0.59,5.94,94.06
VitalDB,hypotension,control,483,2.28,0.0,2.28,97.72
VitalDB,hypotension,all,988,4.15,0.3,4.15,95.85
VitalDB,hypertension,event,75,5.33,0.0,5.33,94.67
VitalDB,hypertension,control,483,2.28,0.0,2.28,97.72
VitalDB,hypertension,all,558,2.69,0.0,2.69,97.31
