feature,domain,outcome,cohort,auc
brs_mean,BRS,hypotension,clinic,0.516
brs_std,BRS,hypotension,clinic,0.5014
brs_min,BRS,hypotension,clinic,0.6113
brs_max,BRS,hypotension,clinic,0.5123
brs_slope,BRS,hypotension,clinic,0.5309
sdnn_mean,HRV,hypotension,clinic,0.5445
sdnn_std,HRV,hypotension,clinic,0.5042
sdnn_min,HRV,hypotension,clinic,0.6074
sdnn_max,HRV,hypotension,clinic,0.5235
sdnn_slope,HRV,hypotension,clinic,0.5074
rmssd_mean,HRV,hypotension,clinic,0.5477
rmssd_std,HRV,hypotension,clinic,0.5015
rmssd_min,HRV,hypotension,clinic,0.5934
rmssd_max,HRV,hypotension,clinic,0.5142
rmssd_slope,HRV,hypotension,clinic,0.5151
pnn50_mean,HRV,hypotension,clinic,0.5284
pnn50_std,HRV,hypotension,clinic,0.5341
pnn50_min,HRV,hypotension,clinic,0.5254
pnn50_max,HRV,hypotension,clinic,0.5504
pnn50_slope,HRV,hypotension,clinic,0.5203
arv_mean,BPV,hypotension,clinic,0.6203
arv_std,BPV,hypotension,clinic,0.6798
arv_min,BPV,hypotension,clinic,0.5111
arv_max,BPV,hypotension,clinic,0.6486
arv_slope,BPV,hypotension,clinic,0.5609
cv_pa_mean,BPV,hypotension,clinic,0.7592
cv_pa_std,BPV,hypotension,clinic,0.7019
cv_pa_min,BPV,hypotension,clinic,0.5799
cv_pa_max,BPV,hypotension,clinic,0.7504
cv_pa_slope,BPV,hypotension,clinic,0.5109
std_pa_mean,BPV,hypotension,clinic,0.664
std_pa_std,BPV,hypotension,clinic,0.6702
std_pa_min,BPV,hypotension,clinic,0.5144
std_pa_max,BPV,hypotension,clinic,0.6659
std_pa_slope,BPV,hypotension,clinic,0.5559
rsa_mean,RSA,hypotension,clinic,0.5726
rsa_std,RSA,hypotension,clinic,0.5482
rsa_min,RSA,hypotension,clinic,0.5506
rsa_max,RSA,hypotension,clinic,0.5859
rsa_slope,RSA,hypotension,clinic,0.5251
brs_mean,BRS,hypotension,vitaldb,0.5974
brs_std,BRS,hypotension,vitaldb,0.5817
brs_min,BRS,hypotension,vitaldb,0.5748
brs_max,BRS,hypotension,vitaldb,0.5807
brs_slope,BRS,hypotension,vitaldb,0.5239
sdnn_mean,HRV,hypotension,vitaldb,0.6443
sdnn_std,HRV,hypotension,vitaldb,0.6354
sdnn_min,HRV,hypotension,vitaldb,0.5069
sdnn_max,HRV,hypotension,vitaldb,0.6742
sdnn_slope,HRV,hypotension,vitaldb,0.6393
rmssd_mean,HRV,hypotension,vitaldb,0.6342
rmssd_std,HRV,hypotension,vitaldb,0.6388
rmssd_min,HRV,hypotension,vitaldb,0.5024
rmssd_max,HRV,hypotension,vitaldb,0.6836
rmssd_slope,HRV,hypotension,vitaldb,0.6321
pnn50_mean,HRV,hypotension,vitaldb,0.6462
pnn50_std,HRV,hypotension,vitaldb,0.6566
pnn50_min,HRV,hypotension,vitaldb,0.5135
pnn50_max,HRV,hypotension,vitaldb,0.7578
pnn50_slope,HRV,hypotension,vitaldb,0.6359
arv_mean,BPV,hypotension,vitaldb,0.575
arv_std,BPV,hypotension,vitaldb,0.7242
arv_min,BPV,hypotension,vitaldb,0.5718
arv_max,BPV,hypotension,vitaldb,0.7141
arv_slope,BPV,hypotension,vitaldb,0.5775
cv_pa_mean,BPV,hypotension,vitaldb,0.6466
cv_pa_std,BPV,hypotension,vitaldb,0.6517
cv_pa_min,BPV,hypotension,vitaldb,0.5268
cv_pa_max,BPV,hypotension,vitaldb,0.6878
cv_pa_slope,BPV,hypotension,vitaldb,0.6543
