outcome,axis,feature,auc,ci_lo,ci_hi,n_event,n_control
hypotension,MAP_signal,map_mean,0.515,0.48,0.55,505,483
hypotension,MAP_signal,map_slope,0.645,0.611,0.682,505,483
hypotension,MAP_signal,map_slope_last10,0.613,0.579,0.648,505,483
hypotension,MAP_signal,map_std,0.672,0.638,0.707,505,483
hypotension,MAP_signal,map_end_vs_start,0.66,0.627,0.696,505,483
hypotension,MAP_signal,map_end_mean,0.585,0.546,0.622,505,483
hypotension,MAP_signal,map_start_mean,0.476,0.437,0.514,505,483
hypotension,MAP_signal,MAP_composite,0.715,0.683,0.746,483,480
hypotension,autonomic,std_pa_mean,0.651,0.617,0.685,505,483
hypotension,autonomic,cv_pa_std,0.653,0.619,0.686,505,483
hypotension,autonomic,rsa_max,0.608,0.574,0.645,505,483
hypotension,autonomic,arv_std,0.726,0.695,0.757,505,483
hypotension,autonomic,brs_min,0.424,0.387,0.458,505,483
hypotension,autonomic,arv_mean,0.575,0.54,0.609,505,483
hypotension,autonomic,std_pa_max,0.663,0.627,0.698,505,483
hypotension,autonomic,rsa_mean,0.614,0.579,0.651,505,483
hypotension,autonomic,autonomic_composite,0.775,0.747,0.804,468,468
hypotension,combined,MAP+autonomic_composite,0.81,0.782,0.837,450,465
hypertension,MAP_signal,map_mean,0.58,0.493,0.673,75,483
hypertension,MAP_signal,map_slope,0.744,0.671,0.812,75,483
hypertension,MAP_signal,map_slope_last10,0.612,0.528,0.693,75,483
hypertension,MAP_signal,map_std,0.707,0.651,0.762,75,483
hypertension,MAP_signal,map_end_vs_start,0.71,0.624,0.785,75,483
hypertension,MAP_signal,map_end_mean,0.632,0.528,0.72,75,483
hypertension,MAP_signal,map_start_mean,0.47,0.389,0.548,75,483
hypertension,MAP_signal,MAP_composite,0.787,0.725,0.844,67,480
hypertension,autonomic,std_pa_std,0.72,0.67,0.767,75,483
hypertension,autonomic,cv_pa_std,0.71,0.659,0.763,75,483
hypertension,autonomic,brs_min,0.395,0.321,0.47,75,483
hypertension,autonomic,cv_pa_mean,0.603,0.526,0.672,75,483
hypertension,autonomic,std_pa_max,0.718,0.668,0.768,75,483
hypertension,autonomic,arv_std,0.781,0.724,0.835,75,483
hypertension,autonomic,std_pa_slope,0.76,0.69,0.829,75,483
hypertension,autonomic,sdnn_mean,0.614,0.548,0.681,75,483
hypertension,autonomic,autonomic_composite,0.848,0.795,0.891,71,472
hypertension,combined,MAP+autonomic_composite,0.887,0.849,0.92,64,469
